start_time	end_time	Carton	IFU	Instructions	Phone	Pump Unit	ReservoirUnit	YpsoPod	skin
156.855	157.345	60.0	1600.0	540.2	0.0	1600.0	1600.0	1600.0	1600.0
157.37	157.48	164.0	967.0	523.9	0.0	1600.0	1600.0	1600.0	1600.0
157.516	157.746	152.1	905.2	449.0	0.0	1600.0	1600.0	1600.0	1600.0
157.785	157.985	215.8	1600.0	508.5	0.0	1600.0	1600.0	1600.0	1600.0
158.089	158.199	194.1	1027.5	535.2	0.0	1600.0	1600.0	1600.0	1600.0
158.369	158.489	305.7	1600.0	548.0	0.0	1600.0	1600.0	1600.0	1600.0
158.508	158.768	302.3	1600.0	536.3	0.0	1600.0	1600.0	1600.0	1600.0
158.787	158.897	284.5	1600.0	546.1	0.0	1600.0	1600.0	1600.0	1600.0
158.914	159.034	264.1	1600.0	559.7	10.6	1600.0	1600.0	1600.0	1600.0
159.414	159.504	266.2	1600.0	568.7	0.0	1600.0	1600.0	1600.0	1600.0
159.529	159.839	303.4	1600.0	650.1	7.0	705.0	1600.0	1600.0	1600.0
159.845	160.375	281.1	1600.0	585.2	0.0	1600.0	1600.0	1600.0	1600.0
160.458	160.638	77.4	1600.0	580.5	0.0	1600.0	1600.0	1600.0	1600.0
162.223	162.533	259.5	1600.0	574.1	0.0	1600.0	1600.0	1600.0	1600.0
162.603	162.823	252.9	1600.0	560.0	0.0	1600.0	1600.0	1600.0	1600.0
162.852	163.112	302.2	1600.0	656.4	2.8	1600.0	1600.0	1600.0	1600.0
163.132	163.652	280.9	1600.0	591.4	0.0	1600.0	1600.0	1600.0	1600.0
163.686	163.856	117.9	1600.0	661.6	0.0	1600.0	1600.0	1600.0	1600.0
164.055	164.215	21.0	1600.0	507.0	0.0	1600.0	1600.0	1600.0	1600.0
164.231	164.311	29.1	1600.0	484.0	0.0	1600.0	1600.0	1600.0	1600.0
164.336	164.426	53.6	1600.0	468.0	4.0	1600.0	1600.0	1600.0	1600.0
164.443	164.893	131.0	1600.0	590.0	0.0	1600.0	1600.0	1600.0	1600.0
164.966	165.136	301.4	1600.0	574.3	0.0	1600.0	1600.0	1600.0	1600.0
165.685	165.925	281.2	1600.0	639.2	0.0	1600.0	1600.0	1600.0	1600.0
165.965	166.265	79.2	1600.0	535.0	0.0	1600.0	1600.0	1600.0	1600.0
166.341	166.651	145.8	1600.0	619.1	0.0	1600.0	1600.0	1600.0	1600.0
166.684	166.924	217.5	1600.0	607.0	0.0	1600.0	1600.0	1600.0	1600.0
166.934	167.224	277.3	1600.0	683.0	0.0	1600.0	1600.0	1600.0	1600.0
167.33	167.52	147.6	1600.0	583.7	0.0	1600.0	1600.0	1600.0	1600.0
167.833	168.103	326.4	1007.2	558.4	0.0	1600.0	1600.0	1600.0	1600.0
168.122	168.202	327.4	1015.4	567.1	0.0	1600.0	1600.0	1600.0	1600.0
168.244	168.394	336.4	1037.3	591.9	0.0	786.9	1600.0	1600.0	1600.0
168.439	168.979	61.5	1600.0	508.0	0.0	1600.0	1600.0	1600.0	1600.0
169.022	169.432	15.1	1600.0	486.5	0.0	1600.0	1600.0	1600.0	1600.0
169.451	169.561	13.0	1600.0	557.4	0.0	1600.0	1600.0	1600.0	1600.0
